question_id,question,question_type,expected_result,raw_top1_document_id,raw_top1_filename,raw_top1_chunk_index,raw_top1_distance,raw_top2_document_id,raw_top2_filename,raw_top2_chunk_index,raw_top2_distance,raw_top3_document_id,raw_top3_filename,raw_top3_chunk_index,raw_top3_distance,evaluated_at
51,公司通常每个月几号发工资？,negative,no_relevant_document,14,员工考勤管理制度.docx,1,0.8737080693244934,14,员工考勤管理制度.docx,0,0.9226696491241455,13,信息安全管理规范.docx,2,0.9366436004638672,2026-08-15T21:45:26+08:00
52,新员工的试用期一般是多久，转正需要办什么手续？,negative,no_relevant_document,14,员工考勤管理制度.docx,2,0.8113216161727905,14,员工考勤管理制度.docx,1,0.8215013742446899,13,信息安全管理规范.docx,2,0.8364408612251282,2026-08-15T21:45:26+08:00
53,公司的年终奖按什么标准计算和发放？,negative,no_relevant_document,7,差旅及费用报销制度.docx,1,1.06598961353302,11,员工休假管理制度.docx,0,1.1201468706130981,14,员工考勤管理制度.docx,0,1.1398673057556152,2026-08-15T21:45:26+08:00
54,工作日晚上加班的加班费是怎么计算的？,negative,no_relevant_document,14,员工考勤管理制度.docx,0,0.8586417436599731,7,差旅及费用报销制度.docx,1,0.868898332118988,14,员工考勤管理制度.docx,2,0.9807829856872559,2026-08-15T21:45:26+08:00
55,员工每个工作日的餐补标准是多少？,negative,no_relevant_document,14,员工考勤管理制度.docx,0,0.8253496885299683,14,员工考勤管理制度.docx,1,0.8808174133300781,14,员工考勤管理制度.docx,2,0.926488995552063,2026-08-15T21:45:26+08:00
56,公司对开车上下班的员工有停车费补贴吗？,negative,no_relevant_document,14,员工考勤管理制度.docx,1,0.9566477537155151,14,员工考勤管理制度.docx,0,1.0225273370742798,13,信息安全管理规范.docx,2,1.0230343341827393,2026-08-15T21:45:26+08:00
57,部门如果想招聘新员工，需要走哪些申请和审批流程？,negative,no_relevant_document,13,信息安全管理规范.docx,2,0.8255494832992554,11,员工休假管理制度.docx,1,0.8679237961769104,14,员工考勤管理制度.docx,1,0.8959187269210815,2026-08-15T21:45:26+08:00
58,员工申请职级晋升需要满足哪些条件？,negative,no_relevant_document,11,员工休假管理制度.docx,0,0.8035237193107605,14,员工考勤管理制度.docx,0,0.8515901565551758,14,员工考勤管理制度.docx,1,0.8550806045532227,2026-08-15T21:45:26+08:00
59,新入职员工怎么领取电脑、文具等办公用品？,negative,no_relevant_document,13,信息安全管理规范.docx,2,0.835694432258606,13,信息安全管理规范.docx,0,0.9171882271766663,13,信息安全管理规范.docx,1,0.9397882223129272,2026-08-15T21:45:26+08:00
60,公司的绩效考核是按月度还是季度进行，结果分几个等级？,negative,no_relevant_document,14,员工考勤管理制度.docx,2,0.8756376504898071,14,员工考勤管理制度.docx,0,0.8923883438110352,14,员工考勤管理制度.docx,1,1.020490050315857,2026-08-15T21:45:26+08:00
